class_id,rxcui,generic_name,rela,condition_name
D012131,17381,aprobarbital,ci_with,Respiratory Insufficiency
D007319,17381,aprobarbital,may_treat,Sleep Initiation and Maintenance Disorders
D004342,89013,aripiprazole,ci_with,Drug Hypersensitivity
D012559,89013,aripiprazole,may_treat,Schizophrenia
D004342,1673265,aripiprazole lauroxil,ci_with,Drug Hypersensitivity
D012559,1673265,aripiprazole lauroxil,may_treat,Schizophrenia
D004342,641465,armodafinil,ci_with,Drug Hypersensitivity
D012893,641465,armodafinil,may_treat,Sleep Wake Disorders
D004342,784649,asenapine,ci_with,Drug Hypersensitivity
D048550,784649,asenapine,ci_with,Hepatic Insufficiency
D001714,784649,asenapine,may_treat,Bipolar Disorder
D012559,784649,asenapine,may_treat,Schizophrenia
D004342,38400,atomoxetine,ci_with,Drug Hypersensitivity
D015812,38400,atomoxetine,ci_with,"Glaucoma, Angle-Closure"
D006967,38400,atomoxetine,ci_with,Hypersensitivity
D010673,38400,atomoxetine,ci_with,Pheochromocytoma
D001289,38400,atomoxetine,may_treat,Attention Deficit Disorder with Hyperactivity
D004342,1291301,avanafil,ci_with,Drug Hypersensitivity
D007172,1291301,avanafil,may_treat,Erectile Dysfunction
D004342,1292,baclofen,ci_with,Drug Hypersensitivity
D002547,1292,baclofen,may_treat,Cerebral Palsy
D006606,1292,baclofen,may_treat,Hiccup
D006816,1292,baclofen,may_treat,Huntington Disease
D010148,1292,baclofen,may_treat,Intractable Pain
D009103,1292,baclofen,may_treat,Multiple Sclerosis
D009128,1292,baclofen,may_treat,Muscle Spasticity
D009188,1292,baclofen,may_treat,"Myelitis, Transverse"
D013119,1292,baclofen,may_treat,Spinal Cord Injuries
D020760,1292,baclofen,may_treat,Spinal Cord Ischemia
D013120,1292,baclofen,may_treat,Spinal Cord Neoplasms
D013169,1292,baclofen,may_treat,Spondylolysis
D014277,1292,baclofen,may_treat,Trigeminal Neuralgia
D001750,1292,baclofen,may_treat,"Urinary Bladder, Neurogenic"
D000437,1359,belladonna alkaloids,ci_with,Alcoholism
D001249,1359,belladonna alkaloids,ci_with,Asthma
D005901,1359,belladonna alkaloids,ci_with,Glaucoma
D007674,1359,belladonna alkaloids,ci_with,Kidney Diseases
D008107,1359,belladonna alkaloids,ci_with,Liver Diseases
D012640,1359,belladonna alkaloids,ci_with,Seizures
D005767,1359,belladonna alkaloids,may_treat,Gastrointestinal Diseases
D006261,1359,belladonna alkaloids,may_treat,Headache
D008593,1359,belladonna alkaloids,may_treat,Menopause
D013035,1359,belladonna alkaloids,may_treat,Spasm
D000437,89781,"belladonna extract, USP",ci_with,Alcoholism
D001249,89781,"belladonna extract, USP",ci_with,Asthma
D005901,89781,"belladonna extract, USP",ci_with,Glaucoma
D007674,89781,"belladonna extract, USP",ci_with,Kidney Diseases
D008107,89781,"belladonna extract, USP",ci_with,Liver Diseases
D012640,89781,"belladonna extract, USP",ci_with,Seizures
D005767,89781,"belladonna extract, USP",may_treat,Gastrointestinal Diseases
D006261,89781,"belladonna extract, USP",may_treat,Headache
D008593,89781,"belladonna extract, USP",may_treat,Menopause
D013035,89781,"belladonna extract, USP",may_treat,Spasm
D000437,314517,belladonna leaf extract,ci_with,Alcoholism
D001249,314517,belladonna leaf extract,ci_with,Asthma
D005901,314517,belladonna leaf extract,ci_with,Glaucoma
D007674,314517,belladonna leaf extract,ci_with,Kidney Diseases
D008107,314517,belladonna leaf extract,ci_with,Liver Diseases
D012640,314517,belladonna leaf extract,ci_with,Seizures
D005767,314517,belladonna leaf extract,may_treat,Gastrointestinal Diseases
D006261,314517,belladonna leaf extract,may_treat,Headache
D008593,314517,belladonna leaf extract,may_treat,Menopause
D013035,314517,belladonna leaf extract,may_treat,Spasm
D001008,1373,benperidol,may_treat,Anxiety Disorders
D003704,1373,benperidol,may_treat,Dementia
D003863,1373,benperidol,may_treat,Depression
D011618,1373,benperidol,may_treat,Psychotic Disorders
D012559,1373,benperidol,may_treat,Schizophrenia
D003704,2690627,benzgalantamine,may_treat,Dementia
D001161,1422,benzphetamine,ci_with,Arteriosclerosis
D001289,1422,benzphetamine,ci_with,Attention Deficit Disorder with Hyperactivity
D002648,1422,benzphetamine,ci_with,Child
D004342,1422,benzphetamine,ci_with,Drug Hypersensitivity
D005901,1422,benzphetamine,ci_with,Glaucoma
D006973,1422,benzphetamine,ci_with,Hypertension
D006980,1422,benzphetamine,ci_with,Hyperthyroidism
D011247,1422,benzphetamine,ci_with,Pregnancy
D015819,1422,benzphetamine,ci_with,"Substance Abuse, Intravenous"
D005879,1422,benzphetamine,ci_with,Tourette Syndrome
D009765,1422,benzphetamine,may_treat,Obesity
D002318,2176312,bremelanotide,ci_with,Cardiovascular Diseases
D006973,2176312,bremelanotide,ci_with,Hypertension
D020018,2176312,bremelanotide,may_treat,"Sexual Dysfunctions, Psychological"
D019052,2121777,brexanolone,may_treat,"Depression, Postpartum"
D004342,1658314,brexpiprazole,ci_with,Drug Hypersensitivity
D003865,1658314,brexpiprazole,may_treat,Major Depressive Disorder
D012559,1658314,brexpiprazole,may_treat,Schizophrenia
D001008,1749,bromazepam,may_treat,Anxiety Disorders
D007319,1749,bromazepam,may_treat,Sleep Initiation and Maintenance Disorders
D013375,1749,bromazepam,may_treat,Substance Withdrawal Syndrome
D004342,19759,bromodiphenhydramine,ci_with,Drug Hypersensitivity
D007231,19759,bromodiphenhydramine,ci_with,"Infant, Newborn"
D007234,19759,bromodiphenhydramine,ci_with,"Infant, Premature"
D001008,19759,bromodiphenhydramine,may_treat,Anxiety Disorders
D003371,19759,bromodiphenhydramine,may_treat,Cough
D009041,19759,bromodiphenhydramine,may_treat,Motion Sickness
D009325,19759,bromodiphenhydramine,may_treat,Nausea
D010300,19759,bromodiphenhydramine,may_treat,Parkinson Disease
D012221,19759,bromodiphenhydramine,may_treat,"Rhinitis, Allergic, Perennial"
D007319,19759,bromodiphenhydramine,may_treat,Sleep Initiation and Maintenance Disorders
D014581,19759,bromodiphenhydramine,may_treat,Urticaria
D014717,19759,bromodiphenhydramine,may_treat,Vertigo
D014839,19759,bromodiphenhydramine,may_treat,Vomiting
D011618,19777,bromperidol,may_treat,Psychotic Disorders
D019967,19777,bromperidol,may_treat,Schizophrenia Spectrum and Other Psychotic Disorders
D004342,1819,buprenorphine,ci_with,Drug Hypersensitivity
D006556,1819,buprenorphine,may_treat,Heroin Dependence
D010146,1819,buprenorphine,may_treat,Pain
D000855,42347,bupropion,ci_with,Anorexia
D002032,42347,bupropion,ci_with,Bulimia
D004342,42347,bupropion,ci_with,Drug Hypersensitivity
D012640,42347,bupropion,ci_with,Seizures
D013375,42347,bupropion,ci_with,Substance Withdrawal Syndrome
D001289,42347,bupropion,may_treat,Attention Deficit Disorder with Hyperactivity
D003866,42347,bupropion,may_treat,Depressive Disorder
D014029,42347,bupropion,may_treat,Tobacco Use Disorder
D004342,1827,buspirone,ci_with,Drug Hypersensitivity
D001008,1827,buspirone,may_treat,Anxiety Disorders
D003866,1827,buspirone,may_treat,Depressive Disorder
D008607,1827,buspirone,may_treat,Intellectual Disability
D004342,477631,butabarbital,ci_with,Drug Hypersensitivity
D011164,477631,butabarbital,ci_with,Porphyrias
D011247,477631,butabarbital,ci_with,Pregnancy
D007319,477631,butabarbital,may_treat,Sleep Initiation and Maintenance Disorders
D007319,19874,butobarbital,may_treat,Sleep Initiation and Maintenance Disorders
D001249,1841,butorphanol,ci_with,Asthma
D004342,1841,butorphanol,ci_with,Drug Hypersensitivity
D007415,1841,butorphanol,ci_with,Intestinal Obstruction
D009293,1841,butorphanol,ci_with,Opioid-Related Disorders
D012131,1841,butorphanol,ci_with,Respiratory Insufficiency
D010146,1841,butorphanol,may_treat,Pain
D001855,2002,carbamazepine,ci_with,Bone Marrow Diseases
D004342,2002,carbamazepine,ci_with,Drug Hypersensitivity
D011247,2002,carbamazepine,ci_with,Pregnancy
D001714,2002,carbamazepine,may_treat,Bipolar Disorder
D017029,2002,carbamazepine,may_treat,"Epilepsy, Complex Partial"
D004830,2002,carbamazepine,may_treat,"Epilepsy, Tonic-Clonic"
D011618,2002,carbamazepine,may_treat,Psychotic Disorders
D012148,2002,carbamazepine,may_treat,Restless Legs Syndrome
D012559,2002,carbamazepine,may_treat,Schizophrenia
D013313,2002,carbamazepine,may_treat,"Stress Disorders, Post-Traumatic"
D013375,2002,carbamazepine,may_treat,Substance Withdrawal Syndrome
D014277,2002,carbamazepine,may_treat,Trigeminal Neuralgia
D004342,1667655,cariprazine,ci_with,Drug Hypersensitivity
D001714,1667655,cariprazine,may_treat,Bipolar Disorder
D012559,1667655,cariprazine,may_treat,Schizophrenia
D011041,2296,charcoal,ci_with,Poisoning
D064420,2296,charcoal,may_prevent,Drug-Related Side Effects and Adverse Reactions
D005414,2296,charcoal,may_prevent,Flatulence
