icd11_code,icd11_title,icd11_uri,browser_link,pool_tier
MG52.00,Multi-drug resistant Mycobacterium tuberculosis,http://id.who.int/icd/entity/757332010,https://icd.who.int/browse/2025-01/mms/en#757332010,B
MG52.01,Antibiotic resistant non-tuberculous Mycobacterium,http://id.who.int/icd/entity/1876329639,https://icd.who.int/browse/2025-01/mms/en#1876329639,B
MG52.02,Extensively drug-resistant mycobacterium tuberculosis,http://id.who.int/icd/entity/1947911830,https://icd.who.int/browse/2025-01/mms/en#1947911830,B
MG53.0,Antiretroviral therapy resistant Human immunodeficiency virus,http://id.who.int/icd/entity/132072037,https://icd.who.int/browse/2025-01/mms/en#132072037,B
MG54,Finding of fungus resistant to antimicrobial drugs,http://id.who.int/icd/entity/828922344,https://icd.who.int/browse/2025-01/mms/en#828922344,B
MG55.0,Artemisinin resistant Plasmodium falciparum,http://id.who.int/icd/entity/716575694,https://icd.who.int/browse/2025-01/mms/en#716575694,B
MG56,Finding of microorganism resistant to other multiple antimicrobial drugs,http://id.who.int/icd/entity/612672352,https://icd.who.int/browse/2025-01/mms/en#612672352,B
MG5Y,Finding of other microorganism resistant to antimicrobial drugs,,,B
MG60,"Abnormal level of enzymes in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/144122487,https://icd.who.int/browse/2025-01/mms/en#144122487,B
MG61,"Abnormal level of hormones in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/1843195875,https://icd.who.int/browse/2025-01/mms/en#1843195875,B
MG62,"Abnormal level of drugs, medicaments and biological substances in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/426884892,https://icd.who.int/browse/2025-01/mms/en#426884892,B
MG63,"Abnormal level of substances chiefly nonmedicinal as to source in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/2084205194,https://icd.who.int/browse/2025-01/mms/en#2084205194,B
MG64,"Abnormal immunological findings in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/265609502,https://icd.who.int/browse/2025-01/mms/en#265609502,B
MG65,"Abnormal microbiological findings in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/1788816520,https://icd.who.int/browse/2025-01/mms/en#1788816520,B
MG66,"Abnormal cytological findings in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/506625143,https://icd.who.int/browse/2025-01/mms/en#506625143,B
MG67,"Abnormal histological findings in specimens from other organs, systems and tissues",http://id.who.int/icd/entity/2071572963,https://icd.who.int/browse/2025-01/mms/en#2071572963,B
MG70,Abnormal diagnostic imaging results not elsewhere classified,http://id.who.int/icd/entity/2122862035,https://icd.who.int/browse/2025-01/mms/en#2122862035,B
MG71.0,Abnormal findings on neonatal screening,http://id.who.int/icd/entity/201152505,https://icd.who.int/browse/2025-01/mms/en#201152505,B
MG72,Abnormal results of function studies of other organs and systems,http://id.who.int/icd/entity/1173437587,https://icd.who.int/browse/2025-01/mms/en#1173437587,B
MH10,Brain death,http://id.who.int/icd/entity/1228918777,https://icd.who.int/browse/2025-01/mms/en#1228918777,B
MH11.0,Sudden infant death syndrome with mention of autopsy,http://id.who.int/icd/entity/1908408156,https://icd.who.int/browse/2025-01/mms/en#1908408156,B
MH11.1,Sudden infant death syndrome without autopsy,http://id.who.int/icd/entity/1729798490,https://icd.who.int/browse/2025-01/mms/en#1729798490,B
MH12.0,Instantaneous death,http://id.who.int/icd/entity/1443484410,https://icd.who.int/browse/2025-01/mms/en#1443484410,B
MH12.1,"Death occurring less than 24 hours from onset of symptoms, not otherwise explained",http://id.who.int/icd/entity/859971440,https://icd.who.int/browse/2025-01/mms/en#859971440,B
MH13,Unattended death,http://id.who.int/icd/entity/1876291018,https://icd.who.int/browse/2025-01/mms/en#1876291018,B
MH14,Other ill-defined or unspecified causes of mortality,http://id.who.int/icd/entity/178135136,https://icd.who.int/browse/2025-01/mms/en#178135136,B
MH15,Sudden unexpected death in epilepsy,http://id.who.int/icd/entity/1370023741,https://icd.who.int/browse/2025-01/mms/en#1370023741,B
