class_id,class_name,depth,rxcui,generic_name,tty,rela
D001008,Anxiety Disorders,1,10464,thiamylal,IN,may_treat
D001008,Anxiety Disorders,1,38365,tofisopam,IN,may_treat
D001008,Anxiety Disorders,1,10800,trifluoperazine,IN,may_treat
D001008,Anxiety Disorders,1,39786,venlafaxine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,1422,benzphetamine,IN,ci_with
D001289,Attention Deficit Disorder with Hyperactivity,3,725,amphetamine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,38400,atomoxetine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,42347,bupropion,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,2599,clonidine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,3247,desipramine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,352372,dexmethylphenidate,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,3288,dextroamphetamine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,40114,guanfacine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,5691,imipramine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,700810,lisdexamfetamine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,6816,methamphetamine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,6901,methylphenidate,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,30125,modafinil,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,7531,nortriptyline,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,7966,pemoline,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,60842,reboxetine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,9639,selegiline,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,2562176,serdexmethylphenidate,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,39786,venlafaxine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,1422,benzphetamine,IN,ci_with
D019958,Attention Deficit and Disruptive Behavior Disorders,2,725,amphetamine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,38400,atomoxetine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,42347,bupropion,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,2403,chlorpromazine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,2599,clonidine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,3247,desipramine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,352372,dexmethylphenidate,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,3288,dextroamphetamine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,40114,guanfacine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,5691,imipramine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,700810,lisdexamfetamine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,6448,lithium,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,746070,lithium aspartate,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,42351,lithium carbonate,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,52105,lithium citrate,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,6816,methamphetamine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,6901,methylphenidate,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,30125,modafinil,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,7531,nortriptyline,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,7966,pemoline,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,60842,reboxetine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,9639,selegiline,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,2562176,serdexmethylphenidate,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,39786,venlafaxine,IN,may_treat
D000067877,Autism Spectrum Disorder,3,4328,fenfluramine,IN,may_treat
D000067877,Autism Spectrum Disorder,3,51272,quetiapine,IN,may_treat
D000067877,Autism Spectrum Disorder,3,35636,risperidone,IN,may_treat
D000067877,Autism Spectrum Disorder,3,39786,venlafaxine,IN,may_treat
D001321,Autistic Disorder,4,4328,fenfluramine,IN,may_treat
D001321,Autistic Disorder,4,51272,quetiapine,IN,may_treat
D001321,Autistic Disorder,4,35636,risperidone,IN,may_treat
D001321,Autistic Disorder,4,39786,venlafaxine,IN,may_treat
D063425,Binge Drinking,3,700810,lisdexamfetamine,IN,may_treat
D001714,Bipolar Disorder,3,784649,asenapine,IN,may_treat
D001714,Bipolar Disorder,3,2002,carbamazepine,IN,may_treat
D001714,Bipolar Disorder,3,1667655,cariprazine,IN,may_treat
D001714,Bipolar Disorder,3,2598,clonazepam,IN,may_treat
D001714,Bipolar Disorder,3,2626,clozapine,IN,may_treat
D001714,Bipolar Disorder,3,25480,gabapentin,IN,may_treat
D001714,Bipolar Disorder,3,28439,lamotrigine,IN,may_treat
D001714,Bipolar Disorder,3,6448,lithium,IN,may_treat
D001714,Bipolar Disorder,3,746070,lithium aspartate,IN,may_treat
D001714,Bipolar Disorder,3,42351,lithium carbonate,IN,may_treat
D001714,Bipolar Disorder,3,52105,lithium citrate,IN,may_treat
D001714,Bipolar Disorder,3,1040028,lurasidone,IN,may_treat
D001714,Bipolar Disorder,3,6646,maprotiline,IN,may_treat
D001714,Bipolar Disorder,3,6852,methotrimeprazine,IN,may_treat
D001714,Bipolar Disorder,3,61381,olanzapine,IN,may_treat
D001714,Bipolar Disorder,3,679314,paliperidone,IN,may_treat
D001714,Bipolar Disorder,3,51272,quetiapine,IN,may_treat
D001714,Bipolar Disorder,3,35636,risperidone,IN,may_treat
D001714,Bipolar Disorder,3,2559612,samidorphan,IN,may_treat
D001714,Bipolar Disorder,3,31914,tiagabine,IN,may_treat
D001714,Bipolar Disorder,3,38404,topiramate,IN,may_treat
D000068105,Bipolar and Related Disorders,2,784649,asenapine,IN,may_treat
D000068105,Bipolar and Related Disorders,2,2002,carbamazepine,IN,may_treat
D000068105,Bipolar and Related Disorders,2,1667655,cariprazine,IN,may_treat
D000068105,Bipolar and Related Disorders,2,2598,clonazepam,IN,may_treat
D000068105,Bipolar and Related Disorders,2,2626,clozapine,IN,may_treat
D000068105,Bipolar and Related Disorders,2,25480,gabapentin,IN,may_treat
D000068105,Bipolar and Related Disorders,2,28439,lamotrigine,IN,may_treat
D000068105,Bipolar and Related Disorders,2,6448,lithium,IN,may_treat
D000068105,Bipolar and Related Disorders,2,746070,lithium aspartate,IN,may_treat
D000068105,Bipolar and Related Disorders,2,42351,lithium carbonate,IN,may_treat
D000068105,Bipolar and Related Disorders,2,52105,lithium citrate,IN,may_treat
D000068105,Bipolar and Related Disorders,2,1040028,lurasidone,IN,may_treat
D000068105,Bipolar and Related Disorders,2,6646,maprotiline,IN,may_treat
D000068105,Bipolar and Related Disorders,2,6852,methotrimeprazine,IN,may_treat
D000068105,Bipolar and Related Disorders,2,61381,olanzapine,IN,may_treat
D000068105,Bipolar and Related Disorders,2,679314,paliperidone,IN,may_treat
D000068105,Bipolar and Related Disorders,2,51272,quetiapine,IN,may_treat
D000068105,Bipolar and Related Disorders,2,35636,risperidone,IN,may_treat
D000068105,Bipolar and Related Disorders,2,2559612,samidorphan,IN,may_treat
D000068105,Bipolar and Related Disorders,2,31914,tiagabine,IN,may_treat
D000068105,Bipolar and Related Disorders,2,38404,topiramate,IN,may_treat
D052018,Bulimia Nervosa,2,36514,sibutramine,IN,ci_with
D002385,Cataplexy,6,2387302,oxybate,IN,may_treat
D002653,Child Behavior Disorders,2,2403,chlorpromazine,IN,may_treat
D002653,Child Behavior Disorders,2,5093,haloperidol,IN,may_treat
D002659,"Child Development Disorders, Pervasive",2,4328,fenfluramine,IN,may_treat
D002659,"Child Development Disorders, Pervasive",2,51272,quetiapine,IN,may_treat
D002659,"Child Development Disorders, Pervasive",2,35636,risperidone,IN,may_treat
D002659,"Child Development Disorders, Pervasive",2,39786,venlafaxine,IN,may_treat
D019970,Cocaine-Related Disorders,2,6646,maprotiline,IN,may_treat
D003072,Cognition Disorders,2,1292,baclofen,IN,may_treat
D003072,Cognition Disorders,2,4024,"ergoloid mesylates, USP",IN,may_treat
D003072,Cognition Disorders,2,8076,perphenazine,IN,may_treat
D003072,Cognition Disorders,2,8331,pimozide,IN,may_treat
D003072,Cognition Disorders,2,10390,tetrabenazine,IN,may_treat
D003072,Cognition Disorders,2,21406,ubidecarenone,IN,may_treat
D060825,Cognitive Dysfunction,3,4024,"ergoloid mesylates, USP",IN,may_treat
D003147,Communication Disorders,2,2598,clonazepam,IN,may_treat
D019955,Conduct Disorder,3,6448,lithium,IN,may_treat
D019955,Conduct Disorder,3,746070,lithium aspartate,IN,may_treat
D019955,Conduct Disorder,3,42351,lithium carbonate,IN,may_treat
D019955,Conduct Disorder,3,52105,lithium citrate,IN,may_treat
D003244,Consciousness Disorders,2,16735,acetophenazine,IN,ci_with
D003244,Consciousness Disorders,2,70223,aldesleukin,IN,ci_with
D003244,Consciousness Disorders,2,703,amiodarone,IN,ci_with
D003244,Consciousness Disorders,2,2403,chlorpromazine,IN,ci_with
D003244,Consciousness Disorders,2,2406,chlorprothixene,IN,ci_with
D003244,Consciousness Disorders,2,2626,clozapine,IN,ci_with
D003244,Consciousness Disorders,2,4496,fluphenazine,IN,ci_with
D003244,Consciousness Disorders,2,4603,furosemide,IN,ci_with
D003244,Consciousness Disorders,2,50749,halofantrine,IN,ci_with
D003244,Consciousness Disorders,2,5093,haloperidol,IN,ci_with
D003244,Consciousness Disorders,2,5975,ipecac,IN,ci_with
D003244,Consciousness Disorders,2,6475,loxapine,IN,ci_with
D003244,Consciousness Disorders,2,6779,mesoridazine,IN,ci_with
D003244,Consciousness Disorders,2,29648,methdilazine,IN,ci_with
D003244,Consciousness Disorders,2,6852,methotrimeprazine,IN,ci_with
D003244,Consciousness Disorders,2,6916,metolazone,IN,ci_with
D003244,Consciousness Disorders,2,7019,molindone,IN,ci_with
D003244,Consciousness Disorders,2,8076,perphenazine,IN,ci_with
D003244,Consciousness Disorders,2,8331,pimozide,IN,ci_with
D003244,Consciousness Disorders,2,8704,prochlorperazine,IN,ci_with
D003244,Consciousness Disorders,2,8742,promazine,IN,ci_with
D003244,Consciousness Disorders,2,8745,promethazine,IN,ci_with
D003244,Consciousness Disorders,2,51272,quetiapine,IN,ci_with
D003244,Consciousness Disorders,2,10502,thioridazine,IN,ci_with
D003244,Consciousness Disorders,2,10510,thiothixene,IN,ci_with
D003244,Consciousness Disorders,2,10800,trifluoperazine,IN,ci_with
D003244,Consciousness Disorders,2,10825,trimeprazine,IN,ci_with
D003244,Consciousness Disorders,2,162,acetanilide,IN,may_treat
D003693,Delirium,2,7909,paraldehyde,IN,may_treat
D003693,Delirium,2,8782,propofol,IN,may_treat
D003704,Dementia,2,2557217,aducanumab,IN,may_treat
D003704,Dementia,2,1292,baclofen,IN,may_treat
D003704,Dementia,2,1373,benperidol,IN,may_treat
D003704,Dementia,2,2690627,benzgalantamine,IN,may_treat
D003704,Dementia,2,2556,citalopram,IN,may_treat
D003704,Dementia,2,2687966,donanemab,IN,may_treat
D003704,Dementia,2,135447,donepezil,IN,may_treat
D003704,Dementia,2,4637,galantamine,IN,may_treat
D003704,Dementia,2,2267703,huperzine A,IN,may_treat
D003704,Dementia,2,2626143,lecanemab,IN,may_treat
D003704,Dementia,2,6719,memantine,IN,may_treat
D003704,Dementia,2,8076,perphenazine,IN,may_treat
D003704,Dementia,2,8331,pimozide,IN,may_treat
D003704,Dementia,2,8704,prochlorperazine,IN,may_treat
D003704,Dementia,2,35636,risperidone,IN,may_treat
D003704,Dementia,2,183379,rivastigmine,IN,may_treat
D003704,Dementia,2,9639,selegiline,IN,may_treat
D003704,Dementia,2,10318,tacrine,IN,may_treat
D003704,Dementia,2,10390,tetrabenazine,IN,may_treat
D003704,Dementia,2,314875,"tocopheryl acid succinate,D-alpha",IN,may_treat
D003704,Dementia,2,1314420,tricaprylin,IN,may_treat
D003704,Dementia,2,21406,ubidecarenone,IN,may_treat
D003704,Dementia,2,11256,vitamin E,IN,may_treat
D019052,"Depression, Postpartum",3,2121777,brexanolone,IN,may_treat
D019052,"Depression, Postpartum",3,2669905,zuranolone,IN,may_treat
D003866,Depressive Disorder,2,62174,deserpidine,IN,ci_with
D003866,Depressive Disorder,2,9260,reserpine,IN,ci_with
D003866,Depressive Disorder,2,596,alprazolam,IN,may_treat
D003866,Depressive Disorder,2,704,amitriptyline,IN,may_treat
D003866,Depressive Disorder,2,722,amoxapine,IN,may_treat
D003866,Depressive Disorder,2,2121777,brexanolone,IN,may_treat
D003866,Depressive Disorder,2,1658314,brexpiprazole,IN,may_treat
