disorder_icd11_code,disorder_title,symptom_icd11_code,matched_form,section,cddr_page
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB27.24,olfactory hallucinations,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB27.25,somatic hallucinations,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB27.26,tactile hallucinations,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB27.27,visual hallucinations,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB27.3,disturbance of body image,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB27.4,illusions,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.0,attention seeking,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.1,callousness,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.2,eccentricity,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.3,entitlement,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.4,hostility,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.5,impulsivity,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.6,indecisiveness,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.7,irresponsibility,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.8,low frustration tolerance,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.9,low self-esteem,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified          674",MB28.A,negative affectivity,(unsectioned),-4
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.B,negativism,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.C,perfectionism,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.D,pessimism,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.E,recklessness,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.F,sensation seeking,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.G,stubbornness,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB28.H,submissiveness,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB29.0,avoidant or restrictive eating,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB29.1,binge eating,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB29.2,eating of non-nutritive substances,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB29.3,purging behavior,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB29.4,rumination-regurgitation,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB2A.0,soiling,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB2A.1,wetting,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB47.C,tendency to fall,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB4B.0,dyslexia and alexia,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB4B.1,agnosia,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB4B.2,acalculia,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB4B.3,agraphia,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB4B.4,anomia,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MB4B.5,dyscalculia,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MC81.2,palpitations,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MD90.0,nausea,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MD90.1,vomiting,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MG21,chills,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MG22,fatigue,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MG43.1,overeating,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MG43.5,excessive weight loss,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MG43.6,excessive weight gain,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MG43.8,decreased appetite,(unsectioned),674
6E6Z,"Secondary mental or behavioural syndrome, unspecified",MG43.9,increased appetite,(unsectioned),674
8A05.00,Tourette syndrome,MB24.3,anxiety,Additional clinical features,154
8A05.00,Tourette syndrome,MB28.5,impulsivity,Additional clinical features,154
Depressive episode,Depressive episode,MB21.A,reduced ability to concentrate,Essential (required) features,212
Depressive episode,Depressive episode,MB22.3,hopelessness,Essential (required) features,212
Depressive episode,Depressive episode,MB22.7,tiredness,Essential (required) features,212
Depressive episode,Depressive episode,MB23.M,psychomotor agitation,Essential (required) features,212
Depressive episode,Depressive episode,MB23.N,agitation or retardation,Essential (required) features,212
Depressive episode,Depressive episode,MB24.2,diminished interest or pleasure,Essential (required) features,212
Depressive episode,Depressive episode,MB24.5,depressed mood,Essential (required) features,212
Depressive episode,Depressive episode,MB24.A,fear,Essential (required) features,212
Depressive episode,Depressive episode,MB24.C,irritability,Essential (required) features,212
Depressive episode,Depressive episode,MB24.F,restlessness,Essential (required) features,212
Depressive episode,Depressive episode,MB26.A,suicidal ideation,Essential (required) features,212
Depressive episode,Depressive episode,MB28.6,indecisiveness,Essential (required) features,212
Depressive episode,Depressive episode,MG22,fatigue,Essential (required) features,212
GA34.41   Premenstrual dysphoric disorder,GA34.41   Premenstrual dysphoric disorder,MB24.3,anxiety,Essential (required) features,261
GA34.41   Premenstrual dysphoric disorder,GA34.41   Premenstrual dysphoric disorder,MB24.5,depressed mood,Essential (required) features,261
GA34.41   Premenstrual dysphoric disorder,GA34.41   Premenstrual dysphoric disorder,MB24.A,fear,Essential (required) features,261
GA34.41   Premenstrual dysphoric disorder,GA34.41   Premenstrual dysphoric disorder,MB24.C,irritability,Essential (required) features,261
