rxcui,generic_name,has_label,product_type,rela,condition_name,indications_and_usage,faers_side_effects
56570,somatrem,False,Discontinued/Withdrawn,may_treat,Cachexia; Dwarfism; Heart Failure; Prader-Willi Syndrome,,
10318,tacrine,False,Discontinued/Withdrawn,ci_with,Drug-Related Side Effects and Adverse Reactions; Hypersensitivity,,
10318,tacrine,False,Discontinued/Withdrawn,may_treat,Alzheimer Disease,,
37985,tetrazepam,False,Non-US,may_treat,Anxiety Disorders; Spasm,,
10437,theobromine,False,Supplement/Natural,may_treat,Anxiety Disorders,,
10464,thiamylal,False,Discontinued/Withdrawn,ci_with,Drug Hypersensitivity,,
10464,thiamylal,False,Discontinued/Withdrawn,may_prevent,Seizures,,
10464,thiamylal,False,Discontinued/Withdrawn,may_treat,Anxiety Disorders,,
38077,thiobutabarbital,False,Non-US,ci_with,Drug Hypersensitivity,,
38077,thiobutabarbital,False,Non-US,may_treat,Sleep Initiation and Maintenance Disorders,,
38260,tibolone,False,Non-US,may_prevent,"Osteoporosis, Postmenopausal",,
38260,tibolone,False,Non-US,may_treat,Anxiety; Hot Flashes; Sleep Initiation and Maintenance Disorders,,
2740012,tividenofusp alfa,True,HUMAN PRESCRIPTION DRUG,may_treat,Mucopolysaccharidosis II,"1 INDICATIONS AND USAGE AVLAYAH is indicated for the treatment of neurologic manifestations of Hunter syndrome (Mucopolysaccharidosis type II, MPS II) when initiated in presymptomatic or symptomatic pediatric patients weighing at least 5 kg prior to advanced neurologic impairment. This indication is approved under accelerated approval based on the reduction of cerebrospinal fluid heparan sulfate [see Clinical Studies (14) ] . Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s). Limitations of Use AVLAYAH is not recommended for use in combination with other enzyme replacement therapies for the treatment of Hunter syndrome. AVLAYAH is a hydrolytic lysosomal glycosaminoglycan (GAG)-specific enzyme indicated for the treatment of neurologic manifestations of Hunter syndrome (Mucopolysaccharidosis type II, MPS II) when initiated in presymptomatic or symptomatic pediatric patients weighing at least 5 kg prior to advanced neurologic impairment. ( 1 ) This indication is approved under accelerated approval based on reduction of cerebrospinal fluid heparan sulfate observed in patients treated with AVLAYAH. Continued approval for this indication may be contingent upon verification of clinical benefit in a confirmatory trial(s). ( 1 ) Limitations of Use AVLAYAH is not recommended for use in combination with other enzyme replacement therapies. ( 1 )",
