class_id,rxcui,generic_name,rela,condition_name
D012893,2591497,daridorexant,ci_with,Sleep Wake Disorders
D020920,2591497,daridorexant,may_treat,Dyssomnias
D020919,2591497,daridorexant,may_treat,"Sleep Disorders, Intrinsic"
D007319,2591497,daridorexant,may_treat,Sleep Initiation and Maintenance Disorders
D012893,2591497,daridorexant,may_treat,Sleep Wake Disorders
D003866,62174,deserpidine,ci_with,Depressive Disorder
D019964,62174,deserpidine,ci_with,Mood Disorders
D012559,62174,deserpidine,may_treat,Schizophrenia
D019967,62174,deserpidine,may_treat,Schizophrenia Spectrum and Other Psychotic Disorders
D001289,3247,desipramine,may_treat,Attention Deficit Disorder with Hyperactivity
D019958,3247,desipramine,may_treat,Attention Deficit and Disruptive Behavior Disorders
D003866,3247,desipramine,may_treat,Depressive Disorder
D019964,3247,desipramine,may_treat,Mood Disorders
D065886,3247,desipramine,may_treat,Neurodevelopmental Disorders
D019966,3247,desipramine,may_treat,Substance-Related Disorders
D019960,3251,desmopressin,may_treat,Elimination Disorders
D004775,3251,desmopressin,may_treat,Enuresis
D019966,22656,desogestrel,ci_with,Substance-Related Disorders
D014029,22656,desogestrel,ci_with,Tobacco Use Disorder
D003866,734064,desvenlafaxine,may_treat,Depressive Disorder
D003865,734064,desvenlafaxine,may_treat,Major Depressive Disorder
D019964,734064,desvenlafaxine,may_treat,Mood Disorders
D001008,352372,dexmethylphenidate,ci_with,Anxiety Disorders
D065886,352372,dexmethylphenidate,ci_with,Neurodevelopmental Disorders
D013981,352372,dexmethylphenidate,ci_with,Tic Disorders
D005879,352372,dexmethylphenidate,ci_with,Tourette Syndrome
D001289,352372,dexmethylphenidate,may_treat,Attention Deficit Disorder with Hyperactivity
D019958,352372,dexmethylphenidate,may_treat,Attention Deficit and Disruptive Behavior Disorders
D065886,352372,dexmethylphenidate,may_treat,Neurodevelopmental Disorders
D015819,3288,dextroamphetamine,ci_with,"Substance Abuse, Intravenous"
D019966,3288,dextroamphetamine,ci_with,Substance-Related Disorders
D001289,3288,dextroamphetamine,may_treat,Attention Deficit Disorder with Hyperactivity
D019958,3288,dextroamphetamine,may_treat,Attention Deficit and Disruptive Behavior Disorders
D006970,3288,dextroamphetamine,may_treat,Disorders of Excessive Somnolence
D020920,3288,dextroamphetamine,may_treat,Dyssomnias
D009290,3288,dextroamphetamine,may_treat,Narcolepsy
D065886,3288,dextroamphetamine,may_treat,Neurodevelopmental Disorders
D020919,3288,dextroamphetamine,may_treat,"Sleep Disorders, Intrinsic"
D012893,3288,dextroamphetamine,may_treat,Sleep Wake Disorders
