rxcui,generic_name,drug_class,atc_codes
4850,glucose,Other,A04AD; A16AX; B05BA; B05BB; B05CX; B05DB; V04CA; V06DC
4903,glutethimide,Sedative,N05CE
40114,guanfacine,Other,
26412,halazepam,Anxiolytic,N05BA
50749,halofantrine,Other,P01BX
5093,haloperidol,Antipsychotic,N05AD
2267703,huperzine A,Other,
5514,hydroxocobalamin,Other,B03BA; V03AB
5553,hydroxyzine,Anxiolytic,N05BB
644101,idursulfase,Other,A16AB
73178,iloperidone,Antipsychotic,N05AX
5691,imipramine,Antidepressant,N06AA
5975,ipecac,Other,R05CA; V03AB
262150,iron carbonyl,Other,A11JB; B03AA; B03AE
6011,isocarboxazid,Antidepressant,N06AF
6026,isoflurane,Other,N01AB
285228,kava preparation,Other,
6130,ketamine,Other,N01AX
28439,lamotrigine,Mood Stabilizer,N03AX
2626143,lecanemab,Anti-dementia,N06DX
2272403,lemborexant,Sedative,N05CJ
1731031,lesinurad,Other,M04AA; M04AB
237005,levomethadyl,Other,
1433212,levomilnacipran,Antidepressant,N06AX
6373,levonorgestrel,Other,G03AA; G03AB; G03AC; G03AD; G03FA
700810,lisdexamfetamine,Stimulant,N06BA
6448,lithium,Mood Stabilizer,N05AN
746070,lithium aspartate,Other,A12CX
42351,lithium carbonate,Mood Stabilizer,N05AN
52105,lithium citrate,Mood Stabilizer,N05AN
28863,lofexidine,Other,N07BC
2569562,lonapegsomatropin,Other,H01AC
6470,lorazepam,Anxiolytic,N05BA
28894,lormetazepam,Sedative,N05CD
6475,loxapine,Antipsychotic,N05AH
2275602,lumateperone,Antipsychotic,N05AD
1040028,lurasidone,Antipsychotic,N05AE
52356,magnesium citrate,Other,A06AD; A11JB; A12CC; B05CB
6646,maprotiline,Antidepressant,N06AA
6664,mazindol,Other,A08AA
6673,mecamylamine,Other,C02BB
29421,mecobalamin,Other,A11EX; A11JC; B03BA
6680,medazepam,Anxiolytic,N05BA
6694,mefloquine,Other,P01BC
6711,melatonin,Sedative,N02BE; N05CH; N05CX
6719,memantine,Anti-dementia,N06DA; N06DX
6760,meprobamate,Anxiolytic,N02BA; N05BC
6779,mesoridazine,Antipsychotic,N05AC
6782,mestranol,Other,G03AA
6813,methadone,Other,N07BC
6816,methamphetamine,Stimulant,N06BA
6823,methaqualone,Sedative,N05CM
29648,methdilazine,Other,R06AD
6851,methotrexate,Other,L01BA; L04AX
6852,methotrimeprazine,Antipsychotic,N05AA
6901,methylphenidate,Stimulant,N06BA
6904,methyltestosterone,Other,G03BA; G03EA; G03EK
6910,methyprylon,Sedative,N05CE
6916,metolazone,Other,C03BA
6960,midazolam,Sedative,N05CD
588250,milnacipran,Antidepressant,N06AX
15996,mirtazapine,Antidepressant,N06AX
30125,modafinil,Stimulant,N06BA
7019,molindone,Antipsychotic,N05AE
31479,nalmefene,Other,N07BB
7242,naloxone,Other,A06AH; N02AA; N02AD; N02AX; N07BC; V03AB
7243,naltrexone,Other,A08AA; N02AA; N07BB
31565,nefazodone,Antidepressant,N06AX
7407,nicotine,Other,N07BA
7440,nitrazepam,Sedative,N05CD
7486,nitrous oxide,Other,N01AX
3155,nordazepam,Anxiolytic,N05BA
326374,norelgestromin,Other,G03AA
31994,norgestimate,Other,G03AA; G03AB; G03FB
7531,nortriptyline,Antidepressant,N06AA
